SiteName,TimeZoneDisplayName10,CrestronTimeZoneId,IgnoreDaylightSavingRules
PAGO_,(UTC-11:00) Coordinated Universal Time-11,2,FALSE
PALEG,(UTC-03:00) Brasilia,24,FALSE
PALMY,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
PANAM,(UTC-05:00) Eastern Time (US & Canada),16,TRUE
PAPEE,(UTC-10:00) Hawaii,3,FALSE
PARIS,"(UTC+01:00) Brussels, Copenhagen, Madrid, Paris",39,FALSE
PAYSO,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
PERTH,(UTC+08:00) Perth,79,FALSE
PHILA,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
PHNOM,"(UTC+07:00) Bangkok, Hanoi, Jakarta",75,FALSE
PHOEN,(UTC-07:00) Arizona,8,FALSE
PITTS,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
PIURA,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
PMONT,(UTC-04:00) Santiago,20,FALSE
POCAT,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
PORTA,(UTC-05:00) Eastern Time (US & Canada),16,FALSE
PORTL,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
PORTM,(UTC+10:00) Brisbane,89,FALSE
PORTO,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",33,FALSE
POTOS,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,FALSE
PRAIA,(UTC-01:00) Cabo Verde Is.,128,FALSE
PREST,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",33,FALSE
PRICE,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
PROCC,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
PROVO,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
PUEBL,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
PVILA,"(UTC+11:00) Solomon Is., New Caledonia",93,FALSE
QUEEN,(UTC-07:00) Arizona,8,FALSE
QUERE,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,FALSE
QUETZ,(UTC-06:00) Central America,12,FALSE
QUITO,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
RALEI,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
RAPID,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
RAPSD,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
RCLIF,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
RECIF,(UTC-03:00) Brasilia,24,FALSE
REDLA,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
REGIN,(UTC-06:00) Saskatchewan,11,FALSE
RENO_,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
RETAL,(UTC-06:00) Central America,12,FALSE
REXBN,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
REXBU,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
REYNO,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
RIBER,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",19,FALSE
RICHM,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
RIODE,(UTC-03:00) Brasilia,7,FALSE
ROANO,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
ROMEI,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",40,FALSE
ROSAR,(UTC-03:00) City of Buenos Aires,27,FALSE
RVERA,(UTC-03:00) Montevideo,28,FALSE
SACRA,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
SALTA,(UTC-03:00) City of Buenos Aires,27,FALSE
SALVA,(UTC-03:00) Brasilia,24,FALSE
SANBR,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",19,FALSE
SANDR,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",9,FALSE
SANSA,(UTC-06:00) Central America,12,FALSE
SANTA,(UTC-06:00) Central America,12,FALSE
SANTI,(UTC-04:00) Santiago,20,FALSE
SANTO,(UTC-06:00) Central Time (US & Canada),10,FALSE
SAPPO,"(UTC+09:00) Osaka, Sapporo, Tokyo",84,FALSE
SARAT,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
SAVAI,(UTC+13:00) Samoa,1,TRUE
SBRIS,(UTC+10:00) Brisbane,89,FALSE
SCRUZ,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",19,FALSE
SDIEG,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
SDOMI,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",9,FALSE
SEAT_,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
SEATT,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
SEOUL,(UTC+09:00) Seoul,83,FALSE
SFORK,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
SGEOR,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
SHOUS,(UTC-06:00) Central Time (US & Canada),10,FALSE
SINGA,"(UTC+08:00) Kuala Lumpur, Singapore ",81,FALSE
SJCAL,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
SJDMO,(UTC+08:00) Taipei,78,FALSE
SJOSE,(UTC-06:00) Central America,12,FALSE
SJUAN,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",19,FALSE
SLAKE,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
SLOUI,(UTC-06:00) Central Time (US & Canada),10,FALSE
SMITH,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
SNOWF,(UTC-07:00) Arizona,8,FALSE
SPAUL,(UTC-03:00) Brasilia,24,FALSE
SPEDR,(UTC-06:00) Central America,12,FALSE
SPHIL,(UTC+08:00) Taipei,78,FALSE
SPMIN,(UTC-06:00) Central Time (US & Canada),10,FALSE
SPOKA,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
SPRIN,(UTC-06:00) Central Time (US & Canada),10,FALSE
STARV,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
STOCK,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",40,FALSE
SUMMI,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
SUVA_,(UTC+12:00) Fiji,95,TRUE
SWEST,(UTC-04:00) Santiago,20,FALSE
SWISS,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",40,FALSE
SYDNE,"(UTC+10:00) Canberra, Melbourne, Sydney",88,FALSE
SYRAC,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
TACLO,(UTC+08:00) Taipei,78,FALSE
TACOM,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
TAIPE,(UTC+08:00) Taipei,78,FALSE
TALLA,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
TAMPA,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
TAMPI,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
TARAW,"(UTC+12:00) Auckland, Wellington",96,FALSE
TAYLO,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
TEGUC,(UTC-06:00) Central America,12,FALSE
TERES,(UTC-03:00) Brasilia,24,FALSE
TEST6,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
TEST7,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
TEST8,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
TETON,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
TGUTI,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
TIJUA,(UTC-08:00) Baja California,5,FALSE
TOKYO,"(UTC+09:00) Osaka, Sapporo, Tokyo",84,FALSE
TOLUC,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
TORON,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
TORRE,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,FALSE
TRUJI,"(UTC-05:00) Bogota, Lima, Quito, Rio Branco",16,FALSE
TUCSO,(UTC-07:00) Arizona,8,FALSE
TUGUE,(UTC+08:00) Taipei,78,FALSE
TULA_,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
TULSA,(UTC-06:00) Central Time (US & Canada),10,FALSE
TWINF,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
UKBIR,"(UTC+00:00) Dublin, Edinburgh, Lisbon, London",33,FALSE
ULAAN,((UTC+07:00) Hovd),75,FALSE
URDAN,(UTC+08:00) Taipei,78,FALSE
UTURO,(UTC-09:00) Alaska,4,FALSE
UYO__,(UTC+01:00) West Central Africa,41,FALSE
VANCO,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
VANWA,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
VERAC,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
VERNA,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
VICTO,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
VIENN,"(UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",40,FALSE
VILLA,"(UTC-06:00) Guadalajara, Mexico City, Monterrey",13,TRUE
VINA_,(UTC-04:00) Santiago,20,FALSE
VITOR,"(UTC-04:00) Georgetown, La Paz, Manaus, San Juan",19,FALSE
WASHI,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
WELLI,"(UTC+12:00) Auckland, Wellington",96,FALSE
WICHI,(UTC-06:00) Central Time (US & Canada),10,FALSE
WILLA,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
WINCH,(UTC-05:00) Eastern Time (US & Canada),14,FALSE
WINNI,(UTC-06:00) Central Time (US & Canada),10,FALSE
WINTE,(UTC-06:00) Central Time (US & Canada),10,FALSE
WJORD,(UTC-07:00) Mountain Time (US & Canada),7,FALSE
YIGO_,"(UTC+10:00) Guam, Port Moresby",92,FALSE
YORBA,(UTC-08:00) Pacific Time (US & Canada),5,FALSE
YUMA_,(UTC-07:00) Arizona,8,FALSE
